順位,チーム名,試合,勝利,敗戦,引分,勝率,勝差,残試合,得点,失点,本塁打,盗塁,打率,防御率,失策,date
1,DeNA,19,12,7,0,0.632,-,124,64,55,14,5,0.251,2.72,12,2023-04-27 00:21:50.435159
2,阪神,20,10,9,1,0.526,2,123,58,63,7,12,0.224,2.93,7,2023-04-27 00:21:50.435159
3,ヤクルト,21,10,10,1,0.5,0.5,122,53,53,11,19,0.193,2.41,7,2023-04-27 00:21:50.435159
3,広島,20,10,10,0,0.5,0,123,60,59,15,6,0.224,2.71,10,2023-04-27 00:21:50.435159
5,巨人,21,9,12,0,0.429,1.5,122,70,68,19,1,0.241,3.02,11,2023-04-27 00:21:50.435159
6,中日,19,8,11,0,0.421,0,124,50,57,4,5,0.245,2.69,13,2023-04-27 00:21:50.435159
1,DeNA,20,13,7,0,0.65,-,123,71,61,15,5,0.257,2.87,13,2023-04-28 02:14:34.991426
2,阪神,21,11,9,1,0.55,2,122,73,63,9,12,0.239,2.79,7,2023-04-28 02:14:34.991426
3,広島,21,11,10,0,0.524,0.5,122,63,61,15,6,0.224,2.53,12,2023-04-28 02:14:34.991426
4,ヤクルト,22,10,11,1,0.476,1,121,59,60,13,19,0.196,2.61,7,2023-04-28 02:14:34.991426
5,巨人,22,9,13,0,0.409,1.5,121,70,83,19,1,0.234,3.6,11,2023-04-28 02:14:34.991426
6,中日,20,8,12,0,0.4,0,123,52,60,4,6,0.245,2.66,13,2023-04-28 02:14:34.991426
1,DeNA,21,14,7,0,0.667,-,122,72,61,15,5,0.253,2.73,13,2023-04-29 03:14:53.473652
2,阪神,22,12,9,1,0.571,2,121,77,63,9,14,0.24,2.66,7,2023-04-29 03:14:53.473652
3,広島,22,11,11,0,0.5,1.5,121,67,66,16,8,0.23,2.66,12,2023-04-29 03:14:53.473652
4,ヤクルト,23,10,12,1,0.455,1,120,59,64,13,20,0.194,2.67,7,2023-04-29 03:14:53.473652
5,巨人,23,10,13,0,0.435,0.5,120,75,87,21,1,0.235,3.62,11,2023-04-29 03:14:53.473652
6,中日,21,8,13,0,0.381,1,122,52,61,4,6,0.242,2.59,13,2023-04-29 03:14:53.473652
1,DeNA,22,15,7,0,0.682,-,121,79,65,15,5,0.254,2.75,14,2023-04-29 13:17:21.635614
2,阪神,23,13,9,1,0.591,2,120,84,63,11,14,0.243,2.55,8,2023-04-29 13:17:21.635614
3,広島,23,11,12,0,0.478,2.5,120,70,70,16,8,0.235,2.72,13,2023-04-29 13:17:21.635614
4,巨人,24,11,13,0,0.458,0.5,119,79,90,23,1,0.236,3.59,11,2023-04-29 13:17:21.635614
5,ヤクルト,24,10,13,1,0.435,0.5,119,59,71,13,21,0.19,2.81,7,2023-04-29 13:17:21.635614
6,中日,22,8,14,0,0.364,1.5,121,56,68,4,6,0.242,2.74,13,2023-04-29 13:17:21.635614
1,DeNA,23,16,7,0,0.696,-,120,81,65,15,6,0.25,2.63,14,2023-04-30 16:47:36.214284
2,阪神,24,13,10,1,0.565,3,119,86,67,12,14,0.239,2.58,9,2023-04-30 16:47:36.214284
3,広島,24,12,12,0,0.5,1.5,119,81,74,20,9,0.241,2.78,13,2023-04-30 16:47:36.214284
4,ヤクルト,25,11,13,1,0.458,1,118,63,73,14,22,0.195,2.74,8,2023-04-30 16:47:36.214284
5,巨人,25,11,14,0,0.44,0.5,118,83,101,23,2,0.238,3.9,12,2023-04-30 16:47:36.214284
6,中日,23,8,15,0,0.348,2,120,56,70,4,6,0.238,2.71,13,2023-04-30 16:47:36.214284
